artist_name,youtube_views,spotify_popularity,spotify_followers,lastfm_listeners,lastfm_playcount,rank_yt,rank_sp_pop,rank_sp_fol,rank_lfm_listeners,rank_lfm_playcount
Aaron Modesto,0.0,68,41501,6127,24814,28.0,49.0,60.0,56.0,59.0
Boladin 211,0.0,70,786575,134108,1683655,28.0,39.0,38.0,34.0,37.0
Bvga Beatz,0.0,69,68717,12,41,28.0,43.0,56.0,66.0,66.0
cjnobeat,0.0,66,75148,190071,1950476,28.0,51.0,55.0,28.0,35.0
Diego & Victor Hugo,525832.0,75,4296606,248805,6640085,26.0,26.0,14.0,16.0,15.0
Dj Andrabeat,0.0,65,48801,909,2886,28.0,53.0,58.0,62.0,62.0
DJ DAVI DOGDOG,0.0,75,153802,3687,15302,28.0,26.0,48.0,59.0,60.0
Dj Felipe Maia,0.0,55,15064,2,37,28.0,65.0,63.0,67.0,67.0
DJ GORDINHO DA VF,0.0,69,29843,16049,69778,28.0,43.0,61.0,52.0,53.0
DJ Guh Mix,0.0,74,239125,21764,191426,28.0,31.0,47.0,50.0,49.0
DJ Japa NK,214504439.0,82,1118697,232108,4218523,15.0,7.0,33.0,19.0,23.0
DJ Kaioken,0.0,55,5844,74,157,28.0,65.0,67.0,65.0,65.0
DJ Oreia,7708467.0,76,577831,54646,410015,24.0,21.0,42.0,46.0,46.0
DU'L,0.0,69,13004,2633,9259,28.0,43.0,65.0,61.0,61.0
Felipe e Rodrigo,67752303.0,75,662970,129594,2313598,18.0,26.0,41.0,35.0,33.0
Grelo,0.0,69,1267947,138015,1473388,28.0,43.0,29.0,32.0,39.0
Grupo Menos É Mais,300397043.0,83,7660147,386141,13773265,11.0,6.0,8.0,7.0,10.0
Gubeatz,0.0,60,13796,124,305,28.0,62.0,64.0,64.0,64.0
Gusttavo Lima,264646562.0,81,24035376,565296,16099151,14.0,9.0,3.0,3.0,9.0
Henrique & Juliano,2375382.0,86,33092645,393250,34152489,25.0,2.0,2.0,6.0,4.0
Julliany Souza,441531214.0,70,1013355,35662,567115,8.0,39.0,35.0,47.0,45.0
Júnior e Cézar,66173097.0,66,134868,32576,319983,19.0,51.0,51.0,48.0,48.0
Léo Santana,60408508.0,71,2507543,214179,2693926,21.0,36.0,22.0,21.0,32.0
Mari Fernandez,624815355.0,72,4187673,192716,5493850,6.0,34.0,15.0,27.0,18.0
Marina Sena,275593927.0,75,6303321,493550,97560572,12.0,26.0,10.0,4.0,2.0
Marquinho no Beat,0.0,70,137670,23093,177119,28.0,39.0,50.0,49.0,50.0
Mc Brinquedo,0.0,69,1128601,85831,1040827,28.0,43.0,32.0,41.0,41.0
Mc Don Juan,0.0,75,5331539,350333,6387428,28.0,26.0,11.0,8.0,16.0
Mc DR,0.0,58,362209,6824,32052,28.0,64.0,44.0,55.0,56.0
MC GH Original,0.0,63,46784,8933,36951,28.0,56.0,59.0,54.0,55.0
MC GP,646406543.0,78,2424243,202853,5649281,5.0,16.0,23.0,23.0,17.0
