artist_normalized,cluster_label,rank_Jan_sp,rank_Feb_sp,rank_Mar_sp,rank_Jan_yt,rank_Feb_yt,rank_Mar_yt,score_combined,has_any_call2go_or
agroplay,4,11.0,17.0,77.0,,,,0.05424,1
anitta,5,19.0,17.0,47.0,56.0,55.0,,0.056257,1
bad bunny,2,,14.0,48.0,,43.0,,0.038506,0
bts,2,,,1.0,,,6.0,0.388889,0
danilo e davi,4,21.0,25.0,27.0,,,,0.041552,0
diego,1,,,,11.0,14.0,13.0,0.0797536666666666,0
diego victor hugo,4,12.0,17.0,16.0,,,,0.068219,1
dj gu,4,,6.0,1.0,,,,0.388889,0
dj japa nk,3,1.0,1.0,1.0,1.0,3.0,4.0,1.5277776666666667,0
dj luan gomes,2,,18.0,14.0,,16.0,14.0,0.0869709999999999,1
dj oreia,0,8.0,6.0,7.0,3.0,2.0,1.0,0.7559523333333334,0
felipe e rodrigo,4,28.0,24.0,17.0,,,,0.0454013333333333,1
felipe rodrigues,1,,,,38.0,25.0,9.0,0.0591423333333333,0
get worship,1,89.0,,,25.0,25.0,36.0,0.0396713333333333,1
grupo chocolate,5,16.0,90.0,,37.0,61.0,,0.0390103333333333,0
grupo menos e mais,0,4.0,6.0,10.0,2.0,5.0,6.0,0.4611113333333333,1
gusttavo lima,5,14.0,16.0,13.0,57.0,41.0,75.0,0.0887063333333333,0
henrique,1,,,,21.0,21.0,22.0,0.0468976666666666,0
henrique juliano,4,16.0,22.0,16.0,,,,0.0568183333333333,0
julliany souza,1,92.0,66.0,59.0,15.0,14.0,14.0,0.0841646666666666,1
junior e cezar,2,67.0,32.0,19.0,59.0,59.0,58.0,0.0499823333333333,1
leo santana,0,22.0,13.0,46.0,11.0,9.0,20.0,0.1320456666666666,0
luan pereira,4,26.0,24.0,25.0,,,100.0,0.043376,0
mari fernandez,5,21.0,18.0,39.0,15.0,40.0,62.0,0.0788706666666666,1
marina sena,2,74.0,28.0,81.0,90.0,32.0,81.0,0.03876,0
mayke rodrigo,4,26.0,24.0,20.0,,,,0.043376,1
mc gp,0,4.0,5.0,9.0,12.0,12.0,13.0,0.2682336666666667,1
mc jacare,0,49.0,3.0,1.0,35.0,3.0,2.0,0.7385486666666667,0
mc lele jp,0,13.0,15.0,15.0,5.0,6.0,9.0,0.2293446666666666,0
mc meno k,2,72.0,14.0,18.0,,21.0,23.0,0.0773233333333333,1
mc tuto,5,38.0,10.0,19.0,30.0,39.0,92.0,0.0829303333333333,0
mc vine7,1,,,,,8.0,4.0,0.125,1
murilo huff,5,13.0,19.0,9.0,48.0,57.0,,0.0930143333333333,0
nandatsunami,2,57.0,33.0,33.0,92.0,63.0,66.0,0.0400146666666666,1
natanzinho lima,1,53.0,94.0,,15.0,17.0,25.0,0.0649986666666666,0
netto brito,1,,,,26.0,27.0,13.0,0.0508073333333333,0
oruam,2,,42.0,32.0,56.0,7.0,6.0,0.1274803333333333,0
panda,0,3.0,3.0,2.0,19.0,20.0,16.0,0.4439329999999999,1
pedro sampaio,3,2.0,1.0,4.0,1.0,1.0,1.0,1.5833333333333337,0
simone mendes,1,93.0,,,21.0,29.0,29.0,0.042446,0
toque dez,1,,,,23.0,27.0,30.0,0.0379496666666666,0
veigh,2,48.0,48.0,40.0,43.0,37.0,36.0,0.0482426666666666,1
vitinho imperador,0,5.0,7.0,11.0,7.0,7.0,7.0,0.2874456666666666,1
void,1,,,,14.0,16.0,25.0,0.0579763333333333,0
yasmin sensacao,5,29.0,42.0,78.0,10.0,23.0,83.0,0.0755463333333333,0
zxkai,1,,,,22.0,18.0,23.0,0.0481626666666666,0
