artist_name_spotify,artist_name_youtube,match_key,spotify_weeks,youtube_weeks
Aaron Modesto,Aaron Modesto,aaron modesto,13,12
Boladin 211,Boladin 211,boladin 211,12,12
Bvga Beatz,Bvga Beatz,bvga beatz,12,10
cjnobeat,cjnobeat,cjnobeat,11,13
Diego & Victor Hugo,Diego & Victor Hugo,diego e victor hugo,13,9
Dj Andrabeat,DJ ANDRABEAT,dj andrabeat,13,13
DJ DAVI DOGDOG,DJ DAVI DOGDOG,dj davi dogdog,13,13
Dj Felipe Maia,Dj Felipe Maia,dj felipe maia,12,12
DJ GORDINHO DA VF,DJ GORDINHO DA VF,dj gordinho da vf,13,13
DJ Guh Mix,DJ Guh Mix,dj guh mix,13,12
DJ Japa NK,DJ Japa NK,dj japa nk,13,13
DJ Kaioken,Dj Kaioken,dj kaioken,12,12
DJ Oreia,Dj Oreia,dj oreia,13,13
DU'L,DU'L,du'l,13,12
Felipe e Rodrigo,Felipe & Rodrigo,felipe e rodrigo,13,13
Grelo,Grelo,grelo,13,13
Grupo Menos É Mais,Grupo Menos É Mais,grupo menos é mais,13,13
Gubeatz,Gubeatz,gubeatz,13,11
Gusttavo Lima,Gusttavo Lima,gusttavo lima,13,13
Henrique & Juliano,Henrique & Juliano,henrique e juliano,13,13
Julliany Souza,Julliany Souza,julliany souza,13,13
Júnior e Cézar,Júnior e Cézar,júnior e cézar,13,13
Léo Santana,Léo Santana,léo santana,13,13
Mari Fernandez,Mari Fernandez,mari fernandez,13,13
Marina Sena,Marina Sena,marina sena,13,10
Marquinho no Beat,Marquinho No Beat,marquinho no beat,13,12
Mc Brinquedo,MC Brinquedo,mc brinquedo,13,13
Mc Don Juan,MC Don Juan,mc don juan,13,13
Mc DR,Mc DR,mc dr,13,11
MC GH Original,MC GH Original,mc gh original,13,13
MC GP,MC GP,mc gp,13,13
Mc Gw,MC GW,mc gw,13,13
Mc IG,MC IG,mc ig,13,13
Mc Jacaré,MC Jacaré,mc jacaré,13,13
Mc Jhey,Mc Jhey,mc jhey,13,13
Mc Lele JP,MC Lele JP,mc lele jp,13,13
MC Leozinho ZS,MC Leozinho ZS,mc leozinho zs,13,13
MC Meno K,MC MENO K,mc meno k,13,13
MC Menor ZL,MC Menor ZL,mc menor zl,13,13
Mc Morena,Mc Morena,mc morena,11,13
Mc Negão Original,Mc Negão Original,mc negão original,13,13
MC Rick,MC Rick,mc rick,13,12
MC RN do Capão,MC RN do Capão,mc rn do capão,13,12
Mc Rodrigo do CN,MC Rodrigo do CN,mc rodrigo do cn,13,13
MC Ryan SP,MC Ryan SP,mc ryan sp,13,13
MC Tuto,MC Tuto,mc tuto,13,13
Melk Villar,Melk Villar,melk villar,11,13
Melody,Melody,melody,13,13
MORADA,MORADA,morada,13,10
NandaTsunami,NandaTsunami,nandatsunami,12,10
Natanzinho Lima,Natanzinho Lima,natanzinho lima,13,13
NATTAN,Nattan,nattan,13,13
Orochi,Orochi,orochi,13,7
Oruam,Oruam,oruam,13,13
Panda,Panda,panda,13,13
PEDRO SAMPAIO,PEDRO SAMPAIO,pedro sampaio,13,13
Racionais MC's,Racionais MC's,racionais mc's,12,5
Simone Mendes,Simone Mendes,simone mendes,13,13
Stick,Stick,stick,12,10
Taylor Swift,Taylor Swift,taylor swift,13,10
Torelli,Torelli,torelli,12,10
Veigh,Veigh,veigh,13,13
Vinicius Cruz,Vinicius Cruz,vinicius cruz,11,13
Vitinho Imperador,Vitinho Imperador,vitinho imperador,13,13
Xand Avião,Xand Avião,xand avião,11,9
Yasmin Sensação,YASMIN SENSAÇÃO,yasmin sensação,13,9
Ícaro e Gilmar,Ícaro e Gilmar,ícaro e gilmar,13,6
