video_id,artist_name,title,published_at,view_count,like_count,comment_count,has_call2go,has_call2go_or,has_call2go_strict,call2go_type,call2go_source,video_call2go,channel_call2go,is_auto_generated,is_oac_channel
T67WZx7CxY8,Gusttavo Lima,"Gusttavo Lima - Retrovisor | DVD ""Feito à Mão""",2025-08-14T00:00:07Z,58203701,289392,7575,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
aaLYhwadeE0,Gusttavo Lima,GUSTTAVO  LIMA +  LUIS FONSI - VAGABUNDO (OFFICIAL VIDEO),2025-10-10T00:00:07Z,49171267,374094,6196,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
jf_VmMcc2r8,Gusttavo Lima,GUSTTAVO LIMA -  SOFRIMENTO SIMULTÂNEO (AO VIVO),2025-03-28T00:00:11Z,19190451,77962,3001,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
1ZyUzHNqkX8,Gusttavo Lima,"Gusttavo Lima - Pelo Bem Da Minha Saudade | DVD ""Feito à Mão""",2025-08-15T23:58:18Z,14797638,42954,960,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
LxseMXiGR04,Gusttavo Lima,"Gusttavo Lima - Saudade e Cabelos Brancos | DVD ""Feito à Mão""",2025-08-18T00:00:05Z,14585009,48010,1269,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
8NtcwGnB5ck,Gusttavo Lima,"Gusttavo Lima - Culpa | DVD ""Feito à Mão""",2025-08-21T00:00:03Z,12926707,27619,820,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
uii7l4xno4I,Gusttavo Lima,"Gusttavo Lima - Cama & Coração | DVD ""Feito à Mão""",2025-08-19T00:00:01Z,11986936,25484,734,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
3epQORhNmi0,Gusttavo Lima,"Gusttavo Lima - Ainda Tem Amor | DVD ""Feito à Mão""",2025-08-14T23:58:43Z,11778469,24761,955,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
54d04ReqKDM,Gusttavo Lima,"Gusttavo Lima - Próximo Tchau | DVD ""Feito à Mão""",2025-08-20T00:00:02Z,11450561,18862,600,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
44CJmEk7k-c,Gusttavo Lima,"Gusttavo Lima - Sofro e Não Nego | DVD ""Feito à Mão""",2025-08-17T00:00:02Z,11230979,22053,566,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
GQ-2GJbU9P4,Gusttavo Lima,"Gusttavo Lima - Assunto Que Dói | DVD ""Feito à Mão""",2026-03-05T23:59:08Z,11213025,29474,1019,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
Eida_tf49F8,Gusttavo Lima,"Gusttavo Lima - DVD ""Feito à Mão"" | Vol.01",2025-08-13T23:59:35Z,8707874,80357,3898,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
roj_zzKqBWk,Gusttavo Lima,"Gusttavo Lima - Transa Pendente | DVD ""Feito à Mão""",2026-03-06T20:59:05Z,5620448,13077,478,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
886gg9LQFcA,Gusttavo Lima,"Gusttavo Lima - Outra Madrugada | DVD ""Feito à Mão""",2026-03-11T14:59:28Z,5059477,10708,359,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
NWnNwge8TWk,Gusttavo Lima,Gusttavo Lima - Paraíso Particular (DVD Completo),2025-04-11T22:00:07Z,4084311,27111,909,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
vkUwSMoA7Hk,Gusttavo Lima,"Gusttavo Lima - Dez Na Mente | DVD ""Feito à Mão""",2026-03-09T14:57:39Z,4070756,13091,362,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
ZpjS4wwukQg,Gusttavo Lima,"Gusttavo Lima - Onde Estão Meus Amigos | DVD ""Feito à Mão""",2025-09-02T00:01:54Z,3448113,69321,1162,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
bZPtiEB01T4,Gusttavo Lima,"Gusttavo Lima, Luis Fonsi - Vagabundo (Live in São Paulo) | Ao Vivo",2026-02-12T21:05:07Z,3069209,36467,767,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
DMUI2swxKkU,Gusttavo Lima,"Gusttavo Lima - Interrogações | DVD ""Feito à Mão""",2026-03-09T20:56:22Z,2369425,7222,292,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
5aAjaU7ubaM,Gusttavo Lima,"Gusttavo Lima - DVD ""Feito à Mão"" | Vol.02 (Completo)",2026-03-06T00:00:07Z,1682206,24352,1234,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
iYjz1Ap1VvU,Grupo Menos É Mais,"Grupo Menos É Mais, NATTAN - Pela Última Vez (Ao Vivo)",2025-08-22T00:00:06Z,131920951,362467,3904,0,1,1,nenhum,nenhum,link_direto,nenhum,0,0
Sck0ayLyzD8,Grupo Menos É Mais,Grupo Menos É Mais - Tarde Demais / Mágica / Oh! Chuva (Ao Vivo),2025-05-08T14:00:06Z,52534482,90096,772,0,1,1,nenhum,nenhum,link_direto,nenhum,0,0
Wnbu1m793Ik,Grupo Menos É Mais,Grupo Menos É Mais - Churrasquinho 4 (Ao Vivo),2025-12-12T00:00:07Z,18883979,53378,698,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
hI7GUHGCHwE,Grupo Menos É Mais,Grupo Menos É Mais - Pensando Em Você / Carta Branca / Amantes (Ao Vivo),2025-10-17T14:10:07Z,17983562,44625,408,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
Yd_mya247M8,Grupo Menos É Mais,Grupo Menos É Mais - MOLHO (Completo),2025-10-25T14:00:06Z,16306279,59318,553,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
bxL3Hczjgbg,Grupo Menos É Mais,Grupo Menos É Mais - Brinda Aê (Ao Vivo),2025-12-12T15:00:07Z,15532896,32881,240,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
F5RlIyn8Cs8,Grupo Menos É Mais,Grupo Menos É Mais - Queria Ser Tu / Interfone (Ao Vivo),2025-10-17T00:15:04Z,13826855,35169,420,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
WrwEIKj7KB0,Grupo Menos É Mais,Grupo Menos É Mais - Quero Ser Feliz Também / Será / Tempo Perdido (Ao Vivo),2025-12-23T15:00:07Z,7569701,33410,363,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
fqLaW9h7FoQ,Grupo Menos É Mais,Grupo Menos É Mais - Quem Será / Amor Demais / Incondicionalmente (Ao Vivo),2025-12-15T15:00:07Z,3746975,9155,88,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
hYWl3EqhElU,Grupo Menos É Mais,Grupo Menos É Mais - Ainda Bem / Resposta (Ao Vivo),2025-12-17T15:00:07Z,3195072,10854,110,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
GSx50F_Nmig,Grupo Menos É Mais,Grupo Menos É Mais - Traumas (Ao Vivo),2025-12-16T15:00:07Z,2824654,8307,119,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
pRRpbVyTE0M,Grupo Menos É Mais,Grupo Menos É Mais - Promessas de Vidro (Ao Vivo),2025-12-18T15:00:08Z,2444337,9337,130,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
MbRkb1E_OaE,Grupo Menos É Mais,Difícil mesmo vai ser resistir a esse P do Pecado aqui 🔥😏 #menosemais #simonemendes,2025-05-01T15:28:18Z,2410657,51202,295,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
RGpRN9-0zmM,Grupo Menos É Mais,Grupo Menos É Mais - Beija Eu (Ao Vivo),2025-12-20T15:00:07Z,2299433,8354,90,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
wTyo1niif8E,Grupo Menos É Mais,Não é tarde demais pra você ouvir esse bloco 🤌🇧🇷,2025-06-19T15:01:29Z,2044652,24748,126,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
vvvsa0kZcO0,Grupo Menos É Mais,Simone Mendes trouxe mais molho para o P do pecado 🤌😮‍💨,2025-05-01T02:22:57Z,1937870,38230,196,0,0,0,nenhum,nenhum,nenhum,nenhum,0,0
