artist_name,total_weeks,jan,fev,mar
DJ Japa NK,13,True,True,True
MC MENO K,13,True,True,True
MC Ryan SP,13,True,True,True
MC Jacaré,13,True,True,True
Grupo Menos É Mais,13,True,True,True
Simone Mendes,13,True,True,True
PEDRO SAMPAIO,13,True,True,True
Melody,13,True,True,True
MC GW,13,True,True,True
Mc Jhey,13,True,True,True
MC Rodrigo do CN,13,True,True,True
MC IG,13,True,True,True
MC Lele JP,13,True,True,True
MC Leozinho ZS,13,True,True,True
MC GH Original,13,True,True,True
MC Menor ZL,13,True,True,True
DJ GORDINHO DA VF,13,True,True,True
Vitinho Imperador,13,True,True,True
Dj Oreia,13,True,True,True
MC Tuto,13,True,True,True
Mc Negão Original,13,True,True,True
Nattan,13,True,True,True
MC GP,13,True,True,True
DJ DAVI DOGDOG,13,True,True,True
DJ ANDRABEAT,13,True,True,True
Void,13,True,True,True
Robson Abreu,13,True,True,True
Emilly Vick,13,True,True,True
Natanzinho Lima,13,True,True,True
Léo Santana,13,True,True,True
Julliany Souza,13,True,True,True
Mari Fernandez,13,True,True,True
Grelo,13,True,True,True
MC Don Juan,13,True,True,True
Panda,13,True,True,True
MJ Records,13,True,True,True
ZXKAI,13,True,True,True
slxughter,13,True,True,True
Get Worship,13,True,True,True
Get Records,13,True,True,True
Melk Villar,13,True,True,True
Vinicius Cruz,13,True,True,True
Netto Brito,13,True,True,True
cjnobeat,13,True,True,True
Mc Morena,13,True,True,True
Henrique & Juliano,13,True,True,True
Toque Dez,13,True,True,True
MC Brinquedo,13,True,True,True
Veigh,13,True,True,True
Supernova Ent,13,True,True,True
Felipe Rodrigues,13,True,True,True
Gusttavo Lima,13,True,True,True
Rey Vaqueiro,13,True,True,True
Zé Vaqueiro,13,True,True,True
ATLXS,13,True,True,True
DJ FKU,13,True,True,True
Oruam,13,True,True,True
Júnior e Cézar,13,True,True,True
LeodoKick,13,True,True,True
Gigant,13,True,True,True
Priscila Senna,13,True,True,True
Pablo,13,True,True,True
Felipe & Rodrigo,13,True,True,True
Boladin 211,12,True,True,True
Dj Felipe Maia,12,True,True,True
Dj Kaioken,12,True,True,True
Fernandinho,12,True,True,True
MC Neguinho do Kaxeta,12,True,True,True
MC Leléto,12,True,True,True
Ministério Pra Tua Glória,12,True,True,True
Aaron Modesto,12,True,True,True
MC RN do Capão,12,True,True,True
DU'L,12,True,True,True
MC Rick,12,True,True,True
DJ Guh Mix,12,True,True,True
Marquinho No Beat,12,True,True,True
Talita Mel,11,True,True,True
Afinho do Fluxo,11,True,True,True
Arthurzinho batedeira,11,True,True,True
MC Cauazim,11,True,True,True
Mc Fininho Da RC,11,True,True,True
Mc Nick,11,True,True,True
Manim Vaqueiro,11,True,True,True
Mc DR,11,True,True,True
Gubeatz,11,True,True,True
Theuzinho,10,True,True,True
Shevchenko e Elloco,10,True,True,True
Taylor Swift,10,True,True,True
Ariis,10,True,True,True
MORADA,10,True,True,True
Marina Sena,10,True,True,True
NandaTsunami,10,True,True,True
Stick,10,True,True,True
Bvga Beatz,10,True,True,True
Torelli,10,True,True,True
YASMIN SENSAÇÃO,9,True,True,True
Diego & Victor Hugo,9,True,True,True
Xand Avião,9,True,True,True
Gustavo Mioto,9,True,True,True
Kailane Frauches,9,True,True,True
Orochi,7,True,True,True
Leléto Records,7,True,True,True
Ícaro e Gilmar,6,True,True,True
Racionais MC's,5,True,True,True
