date,artist_name,lastfm_name,lastfm_url,listeners,playcount,tags,bio_summary,top_track_1,top_track_1_playcount,top_track_2,top_track_2_playcount,top_track_3,top_track_3_playcount,top_album_1,top_album_1_playcount,found_on_lastfm
2026-04-22,Aaron Modesto,Aaron Modesto,https://www.last.fm/music/Aaron+Modesto,6127,24814,," <a href=""https://www.last.fm/music/Aaron+Modesto"">Read more on Last.fm</a>",Pra Não Esquecer De Mim,9530,Se Ela Dormir De Bruços,2804,Toda Linda,1104,Pra Não Esquecer De Mim,9585,True
2026-04-22,Boladin 211,Boladin 211,https://www.last.fm/music/Boladin+211,134108,1683655,funk|brazil," <a href=""https://www.last.fm/music/Boladin+211"">Read more on Last.fm</a>",Penélope Charmosa 2,727502,CHAPA MÁXIMA,272583,"Chapa Máxima - feat. CAO$, Dj Lv Mdp",81477,Penélope Charmosa 2,738697,True
2026-04-22,Bvga Beatz,Bvga Beatz,https://www.last.fm/music/Bvga+Beatz,12,41,," <a href=""https://www.last.fm/music/Bvga+Beatz"">Read more on Last.fm</a>",Paladar Infantil (part. Toledo),18,Mandona (Se eu te dissesse) (feat. Toledo),8,Perdoa Por Tudo Vida,4,Paladar Infantil,19,True
2026-04-22,cjnobeat,cjnobeat,https://www.last.fm/music/cjnobeat,190071,1950476,brazil," <a href=""https://www.last.fm/music/cjnobeat"">Read more on Last.fm</a>",Até Quebrar a Cama 2.0,860231,Sigilinho,219431,MTG - STEREO LOVE,91894,Até Quebrar a Cama 2.0,880673,True
2026-04-22,Diego & Victor Hugo,Diego & Victor Hugo,https://www.last.fm/music/Diego+&+Victor+Hugo,248805,6640085,brazilian|brazil|sertanejo|video|sertanejo universitário,"Brazilian sertanejo duo of Diego Felix Pereira and Elias Anderson de Souza. <a href=""https://www.last.fm/music/Diego+&+Victor+Hugo"">Read more on Last.fm</a>",Tubarões - Ao Vivo,1264628,Entregador de Flor - Ao Vivo em Brasília,564126,Facas - Ao Vivo,410733,Diego & Victor Hugo Ao Vivo em Brasília,932635,True
2026-04-22,Dj Andrabeat,Dj Andrabeat,https://www.last.fm/music/Dj+Andrabeat,909,2886,," <a href=""https://www.last.fm/music/Dj+Andrabeat"">Read more on Last.fm</a>",SÓ NOTA PRO AR,1307,Na Chuva e No Sol,714,Toda Semana,425,SÓ NOTA PRO AR,1325,True
2026-04-22,DJ DAVI DOGDOG,DJ DAVI DOGDOG,https://www.last.fm/music/DJ+DAVI+DOGDOG,3687,15302,," <a href=""https://www.last.fm/music/DJ+DAVI+DOGDOG"">Read more on Last.fm</a>",Tu Vai Lembrar,3838,"Carro Cheio de Praguinha (feat. Mc Lele JP, MC Marks, Mc DR, MC Rah & Chefin)",5476,Fake Seu I Love You (feat. J. Eskine),4389,Tu Vai Lembrar,4008,True
2026-04-22,Dj Felipe Maia,DJ Felipe Maia,https://www.last.fm/music/DJ+Felipe+Maia,2,37,," <a href=""https://www.last.fm/music/DJ+Felipe+Maia"">Read more on Last.fm</a>",THE BOX MEDLEY FUNK 5,10,THE BOX MEDLEY FUNK 4,8,A true soldier is never killed (Ah-Youh-Ino-Psin),7,,0,True
2026-04-22,DJ GORDINHO DA VF,DJ Gordinho da VF,https://www.last.fm/music/DJ+Gordinho+da+VF,16049,69778,brazilian|brazil," <a href=""https://www.last.fm/music/DJ+Gordinho+da+VF"">Read more on Last.fm</a>",Ciclonado,12165,Ta Com Sono,9807,Vo Chega Chegando,10667,Ciclonado,12627,True
2026-04-22,DJ Guh Mix,DJ Guh Mix,https://www.last.fm/music/DJ+Guh+Mix,21764,191426,," <a href=""https://www.last.fm/music/DJ+Guh+Mix"">Read more on Last.fm</a>",Celebridade,171631,Som de Maloka,2239,Qualidade ou defeito 🤬 (feat. Mc Nathan ZK & Mc Negão Original),3458,Celebridade,174116,True
2026-04-22,DJ Japa NK,DJ Japa NK,https://www.last.fm/music/DJ+Japa+NK,232108,4218523,brazil|brasil|brazilian," <a href=""https://www.last.fm/music/DJ+Japa+NK"">Read more on Last.fm</a>",Posso Até Não Te Dar Flores,2387424,Amo Minha Favela,612019,Gauchinha,300249,Posso Até Não Te Dar Flores,2429304,True
2026-04-22,DJ Kaioken,DJ Kaioken,https://www.last.fm/music/DJ+Kaioken,74,157,," <a href=""https://www.last.fm/music/DJ+Kaioken"">Read more on Last.fm</a>",MTG Sabor Energético,40,Vou Mostrar o Meu Talento,18,Senta Com Força no Urso Polar,46,MTG Sabor Energético,40,True
2026-04-22,DJ Oreia,DJ Oreia,https://www.last.fm/music/DJ+Oreia,54646,410015,," <a href=""https://www.last.fm/music/DJ+Oreia"">Read more on Last.fm</a>",Diário de um Cafajeste,249332,Olha pra Minha Cara Não,103403,Mãe de Todas,5985,Diário de um Cafajeste,251667,True
2026-04-22,DU'L,Du'L,https://www.last.fm/music/Du%27L,2633,9259,," <a href=""https://www.last.fm/music/Du%27L"">Read more on Last.fm</a>",Curva do S,2409,A Firma Vai para a Rua,1015,Agora Que Eu Sei,1233,Curva do S,2427,True
2026-04-22,Felipe e Rodrigo,Felipe e Rodrigo,https://www.last.fm/music/Felipe+e+Rodrigo,129594,2313598,brazilian|brazil," <a href=""https://www.last.fm/music/Felipe+e+Rodrigo"">Read more on Last.fm</a>",Gosta De Rua - Ao Vivo,576772,Média Boa - Ao Vivo,243853,Caos De Alguém - Ao Vivo,140197,Questão de Tempo (Ao Vivo / Parte 1),433235,True
2026-04-22,Grelo,grelo,https://www.last.fm/music/grelo,138015,1473388,Forro|brazil|piseiro|funk|Brega,"O cantor Gabriel De Ângelo, mais conhecido pelo apelido Grelo, é o nome por trás do hit ""Só Fé"", que tem conquistado o público e dominado as plataformas de streaming desde seu lançamento em julho. Aos 26 anos, nascido em Anápolis, Goiás, Grelo já era reconhecido como compositor de grandes sucessos sertanejos, mas agora conhecido como cantor, incentivado pela dupla Henrique e Juliano.

A música ""Só Fé"", que segue o ritmo de ""Seresta"", rapidamente se tornou viral <a href=""https://www.last.fm/music",Só Fé,490987,De Graça ou Pagando,309375,Paredões,178177,É o Grelo,1191498,True
2026-04-22,Grupo Menos É Mais,Grupo Menos É Mais,https://www.last.fm/music/Grupo+Menos+%C3%89+Mais,386141,13773265,brazilian|brazil|samba,"INÍCIO

O Grupo Menos é Mais começou a se apresentar em novembro de 2016 a partir da iniciativa de três músicos, Gustavo Goes, Jorge Farias e Pietro Silva, que tocavam juntos samba e pagode em ocasiões esporádicas e em festas particulares. O trio recebeu sua primeira oportunidade de tocar, semanalmente em um bar, em Taguatinga, no Taguaparque. Nesse período, o Ramon Alvarenga passou a fazer parte da família. E, em 2018, entrou o Eduardo Caetano (Duzão). <a href=""https://www.last.fm/music/Grupo+M",Lapada Dela - Ao Vivo,1843509,Coração Partido (Corazón Partío) - Ao Vivo,1618052,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,999569,Confia (Ao Vivo),2150902,True
2026-04-22,Gubeatz,GuBeatz,https://www.last.fm/music/GuBeatz,124,305,," <a href=""https://www.last.fm/music/GuBeatz"">Read more on Last.fm</a>",Jardim Europa,92,"Sítio do Gordinho (feat. MC Jvila, MC Rn do Capão, GvsnoBeat)",65,#Arab TRAP (2014),50,Jardim Europa,95,True
2026-04-22,Gusttavo Lima,Gusttavo Lima,https://www.last.fm/music/Gusttavo+Lima,565296,16099151,sertanejo|pop|male vocalists|Sertanejo Universitario|brazilian,"Nivaldo Batista Lima better known by his stage name Gusttavo Lima (born in Presidente Olegário, Minas Gerais on September 3, 1989) is a Brazilian singer of the sertaneja (brazilian country) genre. Known in his country with many hits, like ""Inventor dos Amores"", ""Cor de Ouro"" and gained international fame and success through the song ""Balada"". He is often compared to the sertanejo singers Luan Santana and Michel Teló.

He was born to Alcino and Sebastiana Lima in Minas Gerais but grew up in Goiân",Balada - Ao Vivo,658823,Balada,614851,Canudinho - Ao Vivo,597285,Gusttavo Lima e Você (Ao Vivo),607637,True
