rank,artist_name,listeners,mbid,url,date,country
1,Sabrina Carpenter,122260,1882fe91-cdd9-49c9-9956-8e06a3810bd4,https://www.last.fm/music/Sabrina+Carpenter,2026-04-19,Brazil
2,Lady Gaga,115811,650e7db6-b795-4eb5-a702-5ea2fc46c848,https://www.last.fm/music/Lady+Gaga,2026-04-19,Brazil
3,Ariana Grande,102669,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,https://www.last.fm/music/Ariana+Grande,2026-04-19,Brazil
4,Taylor Swift,102616,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,2026-04-19,Brazil
5,Lana Del Rey,101913,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,2026-04-19,Brazil
6,Justin Bieber,100697,e0140a67-e4d1-4f13-8a01-364355bee46e,https://www.last.fm/music/Justin+Bieber,2026-04-19,Brazil
7,PinkPantheress,97240,7441014f-f8f5-494f-81db-ff166fbc078d,https://www.last.fm/music/PinkPantheress,2026-04-19,Brazil
8,Anitta,96904,d606b860-cc03-4959-a3fd-3a24bccf2560,https://www.last.fm/music/Anitta,2026-04-19,Brazil
9,Marina Sena,96364,2b1e7c27-2663-43df-9c23-8601e173e6ef,https://www.last.fm/music/Marina+Sena,2026-04-19,Brazil
10,Tame Impala,92950,63aa26c3-d59b-4da4-84ac-716b54f1ef4d,https://www.last.fm/music/Tame+Impala,2026-04-19,Brazil
11,Olivia Rodrigo,92747,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,https://www.last.fm/music/Olivia+Rodrigo,2026-04-19,Brazil
12,Rihanna,87728,73e5e69d-3554-40d8-8516-00cb38737a1c,https://www.last.fm/music/Rihanna,2026-04-19,Brazil
13,The Weeknd,86249,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,https://www.last.fm/music/The+Weeknd,2026-04-19,Brazil
14,Charli xcx,81231,260b6184-8828-48eb-945c-bc4cb6fc34ca,https://www.last.fm/music/Charli+xcx,2026-04-19,Brazil
15,"Tyler, The Creator",78750,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"https://www.last.fm/music/Tyler,+The+Creator",2026-04-19,Brazil
16,Billie Eilish,75683,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,https://www.last.fm/music/Billie+Eilish,2026-04-19,Brazil
17,Chappell Roan,74674,56a55378-f155-48de-80a5-d80104221267,https://www.last.fm/music/Chappell+Roan,2026-04-19,Brazil
18,Doja Cat,71893,5df62a88-cac9-490a-b62c-c7c88f4020f4,https://www.last.fm/music/Doja+Cat,2026-04-19,Brazil
19,Paramore,71430,44cf61b8-5197-448a-b82b-cef6ee89fac5,https://www.last.fm/music/Paramore,2026-04-19,Brazil
20,Arctic Monkeys,71301,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,2026-04-19,Brazil
21,Beyoncé,71069,859d0860-d480-4efd-970c-c05d5f1776b8,https://www.last.fm/music/Beyonc%C3%A9,2026-04-19,Brazil
22,Harry Styles,69776,7eb1ce54-a355-41f9-8d68-e018b096d427,https://www.last.fm/music/Harry+Styles,2026-04-19,Brazil
23,KATSEYE,68130,abbf7d85-9a7f-4a6c-80bd-bf71f2c7d520,https://www.last.fm/music/KATSEYE,2026-04-19,Brazil
24,Kanye West,67864,,https://www.last.fm/music/Kanye+West,2026-04-19,Brazil
25,BTS,67851,0d79fe8e-ba27-4859-bb8c-2f255f346853,https://www.last.fm/music/BTS,2026-04-19,Brazil
26,Radiohead,66002,a74b1b7f-71a5-4011-9441-d0b5e4122711,https://www.last.fm/music/Radiohead,2026-04-19,Brazil
27,Linkin Park,65145,f59c5520-5f46-4d2c-b2c4-822eabf53419,https://www.last.fm/music/Linkin+Park,2026-04-19,Brazil
28,NandaTsunami,64902,a79eaa67-a865-406c-b98d-f4512ad198f2,https://www.last.fm/music/NandaTsunami,2026-04-19,Brazil
29,Kendrick Lamar,64445,381086ea-f511-4aba-bdf9-71c753dc5077,https://www.last.fm/music/Kendrick+Lamar,2026-04-19,Brazil
30,The Neighbourhood,62747,53b06622-ec51-4924-a554-58b0affde6b5,https://www.last.fm/music/The+Neighbourhood,2026-04-19,Brazil
31,Britney Spears,60772,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,https://www.last.fm/music/Britney+Spears,2026-04-19,Brazil
32,Frank Ocean,57991,e520459c-dff4-491d-a6e4-c97be35e0044,https://www.last.fm/music/Frank+Ocean,2026-04-19,Brazil
33,Djavan,57771,751e517d-9663-4692-8c20-942e16d484c5,https://www.last.fm/music/Djavan,2026-04-19,Brazil
34,Katy Perry,57467,122d63fc-8671-43e4-9752-34e846d62a9c,https://www.last.fm/music/Katy+Perry,2026-04-19,Brazil
35,Addison Rae,57451,610b71d9-fa78-47d6-9073-083922e73840,https://www.last.fm/music/Addison+Rae,2026-04-19,Brazil
36,Lorde,57246,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,https://www.last.fm/music/Lorde,2026-04-19,Brazil
37,PEDRO SAMPAIO,57171,796bc8a9-efd1-43e8-bacf-5eba68835928,https://www.last.fm/music/PEDRO+SAMPAIO,2026-04-19,Brazil
38,Michael Jackson,56766,f27ec8db-af05-4f36-916e-3d57f91ecf5e,https://www.last.fm/music/Michael+Jackson,2026-04-19,Brazil
39,The Smiths,56160,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.last.fm/music/The+Smiths,2026-04-19,Brazil
40,Madonna,53918,79239441-bfd5-4981-a70c-55c3f15c1287,https://www.last.fm/music/Madonna,2026-04-19,Brazil
41,Luísa Sonza,53167,ed667cac-2fdb-4401-973b-81c5b4a1717d,https://www.last.fm/music/Lu%C3%ADsa+Sonza,2026-04-19,Brazil
42,Charlie Brown Jr.,53017,29b550f2-04a3-4733-b6f5-4e347fac7e11,https://www.last.fm/music/Charlie+Brown+Jr.,2026-04-19,Brazil
43,Zara Larsson,52904,134e6410-6954-45d1-bd4a-0f2d2ad5471d,https://www.last.fm/music/Zara+Larsson,2026-04-19,Brazil
44,Gorillaz,52775,e21857d5-3256-4547-afb3-4b6ded592596,https://www.last.fm/music/Gorillaz,2026-04-19,Brazil
45,System of a Down,51571,cc0b7089-c08d-4c10-b6b0-873582c17fd6,https://www.last.fm/music/System+of+a+Down,2026-04-19,Brazil
46,Bad Bunny,51288,89aa5ecb-59ad-46f5-b3eb-2d424e941f19,https://www.last.fm/music/Bad+Bunny,2026-04-19,Brazil
47,Kali Uchis,50360,d0c7656d-8169-4f77-9dbe-b8f24e40105d,https://www.last.fm/music/Kali+Uchis,2026-04-19,Brazil
48,SZA,50355,272989c8-5535-492d-a25c-9f58803e027f,https://www.last.fm/music/SZA,2026-04-19,Brazil
49,Bruno Mars,50015,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,2026-04-19,Brazil
50,Deftones,49660,7527f6c2-d762-4b88-b5e2-9244f1e34c46,https://www.last.fm/music/Deftones,2026-04-19,Brazil
51,Ebony,49550,36e0c533-ffe8-4a88-b846-4d81af8aaf0d,https://www.last.fm/music/Ebony,2026-04-19,Brazil
52,BK,49520,28d7452b-c83b-4f43-98af-e233a146f59d,https://www.last.fm/music/BK,2026-04-19,Brazil
53,Jorge Ben Jor,49456,19499124-36d4-4ccc-b28d-04dde3d2076f,https://www.last.fm/music/Jorge+Ben+Jor,2026-04-19,Brazil
54,Drake,48490,9fff2f8a-21e6-47de-a2b8-7f449929d43f,https://www.last.fm/music/Drake,2026-04-19,Brazil
55,Fleetwood Mac,47660,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,https://www.last.fm/music/Fleetwood+Mac,2026-04-19,Brazil
56,Miley Cyrus,46715,7e9bd05a-117f-4cce-87bc-e011527a8b18,https://www.last.fm/music/Miley+Cyrus,2026-04-19,Brazil
57,RAYE,46412,8be564c3-dfba-440b-af8c-4ffbceeef45e,https://www.last.fm/music/RAYE,2026-04-19,Brazil
58,Matuê,46068,be42aaaa-9703-41dc-b2eb-de03e30f83b9,https://www.last.fm/music/Matu%C3%AA,2026-04-19,Brazil
59,Demi Lovato,46018,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,https://www.last.fm/music/Demi+Lovato,2026-04-19,Brazil
60,Mitski,45811,fa58cf24-0e44-421d-8519-8bf461dcfaa5,https://www.last.fm/music/Mitski,2026-04-19,Brazil
61,Anavitória,45230,,https://www.last.fm/music/Anavit%C3%B3ria,2026-04-19,Brazil
62,Melanie Martinez,44035,0df563ec-1a79-486e-a46d-5b9862a40311,https://www.last.fm/music/Melanie+Martinez,2026-04-19,Brazil
63,sombr,43544,502cf908-9921-48bc-bf0e-265c881c0156,https://www.last.fm/music/sombr,2026-04-19,Brazil
64,ROSALÍA,43399,25f3abd9-63b5-471a-bd25-feb9672dfa11,https://www.last.fm/music/ROSAL%C3%8DA,2026-04-19,Brazil
65,Red Hot Chili Peppers,43100,8bfac288-ccc5-448d-9573-c33ea2aa5c30,https://www.last.fm/music/Red+Hot+Chili+Peppers,2026-04-19,Brazil
66,Rita Lee,42965,3f962bf0-42a0-45a0-830f-07b66301d35f,https://www.last.fm/music/Rita+Lee,2026-04-19,Brazil
67,Gal Costa,42568,fc63a914-272d-4b95-9221-61adcce6f793,https://www.last.fm/music/Gal+Costa,2026-04-19,Brazil
68,The Strokes,42260,f181961b-20f7-459e-89de-920ef03c7ed0,https://www.last.fm/music/The+Strokes,2026-04-19,Brazil
69,Sade,42184,67930b3e-e00b-469f-8c74-fd69f20522ec,https://www.last.fm/music/Sade,2026-04-19,Brazil
70,Slayyyter,42139,9058d01e-8afc-47a4-8664-621fb5f159c0,https://www.last.fm/music/Slayyyter,2026-04-19,Brazil
71,Dominic Fike,41827,e337c918-098f-418e-97a2-81dc224b1bf9,https://www.last.fm/music/Dominic+Fike,2026-04-19,Brazil
72,Marisa Monte,41684,f81f19b9-c76e-43ac-8656-bb56071785fb,https://www.last.fm/music/Marisa+Monte,2026-04-19,Brazil
73,The Beatles,41664,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,https://www.last.fm/music/The+Beatles,2026-04-19,Brazil
74,The Marías,41445,7a3970c9-ecd8-4eee-a267-4d8c77d97ff3,https://www.last.fm/music/The+Mar%C3%ADas,2026-04-19,Brazil
75,Coldplay,41334,cc197bad-dc9c-440d-a5b5-d52ba2e14234,https://www.last.fm/music/Coldplay,2026-04-19,Brazil
76,Nirvana,40892,5b11f4ce-a62d-471e-81fc-a69a8278c7da,https://www.last.fm/music/Nirvana,2026-04-19,Brazil
77,TV Girl,40673,38f0c7ac-46eb-49ca-b3ab-c785ccd05a60,https://www.last.fm/music/TV+Girl,2026-04-19,Brazil
78,Don Toliver,40095,a0723a3c-4135-438e-85c5-012712144ede,https://www.last.fm/music/Don+Toliver,2026-04-19,Brazil
79,Tate McRae,40027,f9133869-f87c-459c-9aa7-2f176cda7e06,https://www.last.fm/music/Tate+McRae,2026-04-19,Brazil
80,TWICE,40026,8da127cc-c432-418f-b356-ef36210d82ac,https://www.last.fm/music/TWICE,2026-04-19,Brazil
81,Marina,39512,b37e091c-d2ee-4707-bfb1-402fc32f29bd,https://www.last.fm/music/Marina,2026-04-19,Brazil
82,Tim Maia,39131,446ac261-09ae-43f4-a7e1-2c753c0813ce,https://www.last.fm/music/Tim+Maia,2026-04-19,Brazil
83,Duquesa,39110,55904463-0325-4aea-88f4-925b0319aab8,https://www.last.fm/music/Duquesa,2026-04-19,Brazil
84,Mac DeMarco,38990,f2492c31-54a8-4347-a1fc-f81f72873bbf,https://www.last.fm/music/Mac+DeMarco,2026-04-19,Brazil
85,Twenty One Pilots,38936,a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,https://www.last.fm/music/Twenty+One+Pilots,2026-04-19,Brazil
