rank,track_name,artist_name,listeners,mbid,url,date,country
1,Stateside + Zara Larsson,PinkPantheress,62045,ffbf7862-2476-4164-ac32-f5904ccefe0f,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson,2026-04-19,Brazil
2,Manchild,Sabrina Carpenter,51728,16afd537-24ce-45f4-b3bc-e2ac99de3bf0,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,2026-04-19,Brazil
3,Drop Dead,Olivia Rodrigo,51283,dae76a66-5ea8-43c2-856d-cce2aa7fbe49,https://www.last.fm/music/Olivia+Rodrigo/_/Drop+Dead,2026-04-19,Brazil
4,P.I.T.T.Y. (Parecendo Uma Cafetina),NandaTsunami,47803,bd37b568-6b11-47e9-878a-4279cf5fb1e2,https://www.last.fm/music/NandaTsunami/_/P.I.T.T.Y.+(Parecendo+Uma+Cafetina),2026-04-19,Brazil
5,PINKY UP,KATSEYE,44655,db073be9-577c-4121-b426-f590cc71b804,https://www.last.fm/music/KATSEYE/_/PINKY+UP,2026-04-19,Brazil
6,House Tour,Sabrina Carpenter,43298,6095702d-b48f-46a9-80a3-4f5723fe3b28,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour,2026-04-19,Brazil
7,Choka Choka,Anitta,41924,,https://www.last.fm/music/Anitta/_/Choka+Choka,2026-04-19,Brazil
8,Dracula - JENNIE remix,Tame Impala,41828,115ccba3-2f4c-42b5-8b44-58120553d4c2,https://www.last.fm/music/Tame+Impala/_/Dracula+-+JENNIE+remix,2026-04-19,Brazil
9,Numa Ilha,Marina Sena,38554,36d151af-f09f-4f11-a755-be86ab6e3294,https://www.last.fm/music/Marina+Sena/_/Numa+Ilha,2026-04-19,Brazil
10,Lua Cheia,Marina Sena,37125,96e8544b-f820-413e-a3d9-1bc39ac61498,https://www.last.fm/music/Marina+Sena/_/Lua+Cheia,2026-04-19,Brazil
11,Mandinga,Anitta,36907,,https://www.last.fm/music/Anitta/_/Mandinga,2026-04-19,Brazil
12,Fame Is a Gun,Addison Rae,36684,37907edc-06c1-4d08-b2ef-7e5221986f91,https://www.last.fm/music/Addison+Rae/_/Fame+Is+a+Gun,2026-04-19,Brazil
13,Desgraça,Anitta,36413,08ed15fd-c843-4dad-b8e4-876f98f4b7c4,https://www.last.fm/music/Anitta/_/Desgra%C3%A7a,2026-04-19,Brazil
