date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,Aaron Modesto,Pra Não Esquecer De Mim,9530,2144,1
2026-04-22,Aaron Modesto,Se Ela Dormir De Bruços,2804,858,2
2026-04-22,Aaron Modesto,Toda Linda,1104,604,3
2026-04-22,Aaron Modesto,Famosinha Do Instagram,1073,370,4
2026-04-22,Aaron Modesto,Maragogi,757,342,5
2026-04-22,Aaron Modesto,Se Eu Vejo Ela,1291,331,6
2026-04-22,Aaron Modesto,Cupido FDP,583,319,7
2026-04-22,Aaron Modesto,Tempo Que Não Volta,319,222,8
2026-04-22,Aaron Modesto,Solteiro Não,736,207,9
2026-04-22,Aaron Modesto,Espancando a Mídia,837,190,10
2026-04-22,Boladin 211,Penélope Charmosa 2,727502,108517,1
2026-04-22,Boladin 211,CHAPA MÁXIMA,272583,51294,2
2026-04-22,Boladin 211,"Chapa Máxima - feat. CAO$, Dj Lv Mdp",81477,18358,3
2026-04-22,Boladin 211,Traje do Colorado,85093,15588,4
2026-04-22,Boladin 211,Mesmo Embalo,63834,11541,5
2026-04-22,Boladin 211,O Terror Vai Tá de Volta,57421,10108,6
2026-04-22,Boladin 211,Palinha da de 30,34249,7334,7
2026-04-22,Boladin 211,OQCSENTE,28612,7047,8
2026-04-22,Boladin 211,Bebê se tu passar no teste,17888,5302,9
2026-04-22,Boladin 211,Vamo Sambar Lindona,21818,5000,10
2026-04-22,Bvga Beatz,Paladar Infantil (part. Toledo),18,7,1
2026-04-22,Bvga Beatz,Mandona (Se eu te dissesse) (feat. Toledo),8,2,2
2026-04-22,Bvga Beatz,Perdoa Por Tudo Vida,4,2,3
2026-04-22,Bvga Beatz,Desfile na Favela (feat. Toledo),6,1,4
2026-04-22,Bvga Beatz,Movimento (feat. Supernova Ent),3,1,5
2026-04-22,Bvga Beatz,Paladar Infantil (feat. Toledo),1,1,6
2026-04-22,Bvga Beatz,Paladar Infantil,1,1,7
