date,artist_name,spotify_id,followers,popularity
2026-04-11,Shakira,0EmeFodog0BfCgMzAIvKQp,42213018,88
2026-04-11,Marília Mendonça,1yR65psqiazQpeM79CcGh8,39803931,79
2026-04-11,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,24007063,80
2026-04-11,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,25378873,81
2026-04-11,Leonardo,2YWOP324cKGfkTo2PydgJR,2536352,67
2026-04-11,Anitta,7FNnA9vBm6EKceENgCGRMb,13404169,80
2026-04-11,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,11081973,79
2026-04-11,LUDMILLA,3CDoRporvSjdzTrm99a3gi,8584924,73
2026-04-11,Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7579065,83
2026-04-11,Pablo,2uOlKKhuUUWlTITCYYUuIK,2427467,72
2026-04-11,Sorriso Maroto,1fUSLFr4WUBx7joEcGwpvG,4055545,75
2026-04-11,Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,7501982,71
2026-04-11,Panda,5qIpstBGrGteJZg1xIvbiz,637274,83
2026-04-11,Ferrugem,5ZfBThYiIIhL7jHMG8gDB2,6619543,77
2026-04-11,Zé Felipe,7cmuxPnXRJxwuYDHfbD8Eu,5640790,71
2026-04-11,Zé Vaqueiro,5K8Rmjmf4RZFffz94EmBRt,6447422,69
2026-04-11,Lauana Prado,6TYimByryGphZCtwYopH0y,6169715,75
2026-04-11,Xand Avião,43DRDu6nLSeIedZ7T1A616,3516166,70
2026-04-11,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,4197745,72
2026-04-11,Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,4173310,71
2026-04-11,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,3483593,77
2026-04-11,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,6703887,74
2026-04-11,Felipe Araújo,47uyFQHOD02S0lj9ptRpoB,5889582,64
2026-04-11,Léo Santana,7KVJCU4z5L4EUHILL8aMxR,2505317,70
2026-04-11,Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,2818886,76
2026-04-11,Ana Castela,2CKOmarVWvWqkNWUatHCex,10098418,78
2026-04-11,Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,4103691,75
2026-04-11,NATTAN,1SXhEXzOTF7YeuQX59m7pT,4087205,73
2026-04-11,Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,2692806,78
2026-04-11,Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,946106,78
2026-04-11,Manu,0CdnnCbbKD4oIzBmxi2o7r,1023028,62
2026-04-11,Felipe Amorim,3CIIaeZuFYrAD6PRVyuO4U,3478357,72
2026-04-11,Luan Pereira,5kVgcCdPbeUwxBqWxi2Ktl,3566125,74
2026-04-11,Bruno & Barretto,70x9rYb58QCNNeNxuO3StS,2935365,64
2026-04-11,Rionegro & Solimões,33NrinbbEctw1wsdKNgZeZ,1913469,67
2026-04-11,Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,912894,70
2026-04-11,Matheus Fernandes,37mqXU98U5GmH5ZDtlHM1c,989427,67
2026-04-11,MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,8310788,85
2026-04-11,Mayke & Rodrigo,70l6HIf0rz8ZMQCW5qK6QI,44722,66
2026-04-11,Eric Land,007FXgr0jLBJxhPJjacXQH,1295982,60
2026-04-11,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,13611439,78
2026-04-11,Kamisa 10,39VceBo0jXir85LCeAmAIs,782897,69
2026-04-11,Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,654957,74
2026-04-11,Raphaela Santos,1xUYzPQi0zdezdLkEjuqQH,379998,61
2026-04-11,Cleber & Cauan,6Y8pfJkEdw4EAST4g9C026,1909384,64
2026-04-11,Priscila Senna,44F6hbmusaHQR96WFbo6Lv,279498,63
2026-04-11,AgroPlay,0uGWkZRPp1Urk77XBrPBsZ,1142177,68
2026-04-11,BIN,1WXbiUMl1AT9Inb619xPUg,2191752,66
2026-04-11,Fiduma & Jeca,2h73KyGixa4A1xlhcxjpG1,662810,65
2026-04-11,MJ Records,0oAZhL6hFrM3YRr6QzjlOf,114840,81
