uri,track_name,artist_names,release_date,release_date_precision
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2024-05-17,day
spotify:track:2jpbtp5N679x92uB8s8p9h,Vitamina C - Ao Vivo,"Suel, Grupo Menos É Mais",2024-07-26,day
spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2025-06-20,day
spotify:track:4e5wmQErWzLAYvKH80eVxU,Vampirinha - Ao Vivo,Ivete Sangalo,2026-01-12,day
spotify:track:1pjpPXl66t4FeQaFscpG73,Cidade Vizinha - Ao Vivo,Henrique & Juliano,2018-10-05,day
spotify:track:3nCuLb5HKpHYpUY3u47KG1,Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo,"Panda, Humberto & Ronaldo, Ícaro e Gilmar, MJ Records",2025-02-20,day
spotify:track:1XpVhaI4HzWrhRWIpdfyJB,Please,BTS,2026-03-20,day
spotify:track:5asabafNzfAzjUecDvuNES,Aquela Pessoa - Ao Vivo,Henrique & Juliano,2017-07-07,day
spotify:track:1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush,1985-09-16,day
spotify:track:0hEl4j1UAuEFipesf8umWb,Reclama Com Meu Ex - Naiara 15 - Ao Vivo em São Paulo,"Naiara Azevedo, Ana Castela",2025-11-20,day
spotify:track:3KGCF68zDut37Ug3fzWgVU,Saudade,"Luiz Lins, Konai, Mazili",2017-12-20,day
spotify:track:1yJYseCZJYRHZkl1DJ3tLs,"Bebe, Beija e Trai - Ao Vivo","Mayke & Rodrigo, Panda",2025-10-30,day
spotify:track:5TKTBDb9p1npApJLuQLd7M,BACKSTAGE,"Matuê, BNYX, Azul Wynter, Bryan Yepes",2025-12-10,day
spotify:track:4kqz2VSAmiLm06X90jmktL,Semi Nua,"MC GP, MC Meno K, Aaron Modesto, MC RN do Capão, DU'L, MC Rick, DJ Guh Mix, Marquinho no Beat, MC Ryan SP, Mc Negão Original",2025-08-08,day
