Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,Views,Growth,YouTube URL
1,1,JETSKI,PEDRO SAMPAIO & MC MENO K & Melody,8,15085211,-0.03%,https://www.youtube.com/watch?v=7CF5qbw8zec
2,2,Diário de um Cafajeste,Dj Oreia & MC Lele JP & MC Meno K & MC Ryan SP & MC Tuto & Mc Negão Original,14,10870437,0%,https://www.youtube.com/watch?v=WQHYbOy7H2g
3,3,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),DJ Japa NK & MC MENO K & MC Ryan SP & MC Jacaré,19,8554037,-0.06%,https://www.youtube.com/watch?v=ztC8bM-EYOg
4,4,SEQUÊNCIA FEITICEIRA (feat. MC Nito),PEDRO SAMPAIO & MC GW & Mc Jhey & MC Rodrigo do CN,24,6828846,-0.07%,https://www.youtube.com/watch?v=_zKnEm9xPWw
5,5,P do Pecado (Ao Vivo),Grupo Menos É Mais & Simone Mendes,41,6422957,-0.07%,https://www.youtube.com/watch?v=eAIivxKZYZw
6,6,Vai Tomando Pock Pock (feat. MC MENO K),MC Lele JP & MC Leozinho ZS & MC GH Original & MC Menor ZL & DJ GORDINHO DA VF,19,6195826,0.02%,https://www.youtube.com/watch?v=tWjTNxAvlLk
7,13,Carnívoro,MC Jacaré & MC Lele JP & Mc Negão Original & DJ Japa NK,3,5558891,0.36%,https://www.youtube.com/watch?v=hToGSAFPwds
8,7,Eu Me Apaixonei,Vitinho Imperador,27,5312563,-0.05%,https://www.youtube.com/watch?v=HD2sMiAwpCQ
9,8,SET DO JAPA NK 2.0 (feat. MC LUUKY MC Jacaré MC Rodrigo do CN MC GH do 7 MC Lele JP MC Jvila & Oruam),DJ Japa NK & MC Ryan SP & MC MENO K & MC IG,13,5055354,-0.06%,https://www.youtube.com/watch?v=QbdcQV63c2Y
10,10,Pela Última Vez (Ao Vivo),Grupo Menos É Mais & Nattan,25,4473459,-0.06%,https://www.youtube.com/watch?v=iYjz1Ap1VvU
11,11,Desliza ("Ólhinho" No Corpinho),Léo Santana & Melody,30,4335088,-0.02%,https://www.youtube.com/watch?v=Xxd0-MBsOBs
12,12,ME POSTOU NO DAILY - FESTA DO BIG G,MC GP & MC Lele JP & DJ DAVI DOGDOG & DJ ANDRABEAT,20,4043466,-0.03%,https://www.youtube.com/watch?v=hQskOv9b_kg
13,9,Amo Minha Favela,DJ Japa NK & MC MENO K,9,3789566,-0.21%,https://www.youtube.com/watch?v=xVxFGVNJvdY
14,14,Tubarões (Ao Vivo),Diego & Victor Hugo,49,3735645,-0.06%,https://www.youtube.com/watch?v=10XarNSkw0s
15,27,Semi Nua,MC GP & MC MENO K & Aaron Modesto & MC RN do Capão & DU'L & MC Rick & DJ Guh Mix & Marquinho No Beat & MC Ryan SP & Mc Negão Original,5,3692910,0.34%,https://www.youtube.com/watch?v=OGzvLeq6too
16,15,Quem É Esse?(Live),Julliany Souza,39,3582128,-0.01%,https://www.youtube.com/watch?v=0ZF5em0MTwY
