artist_name,spotify_id,followers,popularity,genres,source,occurrence_count,youtube_channel_id,total_youtube_views,extraction_date,selection_criteria
Taylor Swift,06HL4z0CvFAxyc27GXpf02,155421753,97,,Charts Q1 2026,23,UCqECaJ8Gagnn7YCbPEzWH6g,44563826204,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,24026179,80,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,26,UCXooz9whNJZBRTHi9AqdjPw,18627892341,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7634209,83,pagode; samba,Charts Q1 2026,26,UCmkSzYG4ykYKFE4Ow0030zw,5166856952,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Panda,5qIpstBGrGteJZg1xIvbiz,662922,83,sertanejo; sertanejo universitário,Charts Q1 2026,26,UCrRCYfAdzBO3ViaOseB9dJw,4368848439,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Xand Avião,43DRDu6nLSeIedZ7T1A616,3521465,71,forró; piseiro; sertanejo,Charts Q1 2026,20,UCfuRRJ76VluLiHW2pqwZNwg,3732162768,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Orochi,3rfM2cGqF6DB0kUyytMkXx,9643755,76,brazilian trap; brazilian hip hop; trap funk,Charts Q1 2026,20,UCQSDP7H4BINtrZ0bJc_FNIA,3605471158,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,4183395,71,piseiro; sertanejo; forró,Charts Q1 2026,26,UC4GQcpSxXmvhjn8bAfUubgg,3272949156,2026-04-18,Persistência temporal 3 meses × 2 plataformas
PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,3496910,77,brazilian funk; funk pop; funk carioca,Charts Q1 2026,26,UCMbytiCiUSKLHhikpOIsbxQ,3232088376,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Léo Santana,7KVJCU4z5L4EUHILL8aMxR,2506853,70,pagode baiano; axé; pagode,Charts Q1 2026,26,UCRai1xXd7kGQTE2-Z5mG_jg,3076207356,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,4117983,76,sertanejo; sertanejo universitário; pagode,Charts Q1 2026,26,UCH7vP1JyEwTy-D-ikZUoCww,2500231004,2026-04-18,Persistência temporal 3 meses × 2 plataformas
NATTAN,1SXhEXzOTF7YeuQX59m7pT,4094812,74,piseiro; forró; sertanejo,Charts Q1 2026,26,UC3EPFEI1TdOtPdDPS1nRt2w,2384393225,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,2712340,78,arrocha; seresta; forró,Charts Q1 2026,26,UCIy12y9x1XhfFhqqfACsVeg,2292892047,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,951226,78,sertanejo; sertanejo universitário; agronejo,Charts Q1 2026,19,UC55hzEBczDivH31zVueh8Gg,2155857569,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc IG,2q9wk5fkeU2C9CgCKdh4AN,12833305,80,brazilian funk; trap funk; funk consciente,Charts Q1 2026,26,UCYLWk7x2Jg9CRD71MnPRTOg,1762087154,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Racionais MC's,29CQLw9uLWsl8Qkz9holfr,10143828,71,brazilian hip hop; rap; boom bap,Charts Q1 2026,17,UC0-clSqGiArqh1CaskKiu3g,1581191433,2026-04-18,Persistência temporal 3 meses × 2 plataformas
