artist_name,spotify_id,followers,popularity,genres,source,occurrence_count,youtube_channel_id,total_youtube_views,extraction_date,selection_criteria
Aaron Modesto,48yaM25WLHmQZXx5NN3DYH,41501,68,brazilian funk; trap funk; funk consciente,Charts Q1 2026,25,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Boladin 211,2xOLGU5UNLV3KQSFteF8ZW,786575,70,brazilian funk; trap funk; funk de bh,Charts Q1 2026,24,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Bvga Beatz,7saGN6a32YNpiMPo2SWJxE,68717,69,brazilian trap; trap funk; trap,Charts Q1 2026,22,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
cjnobeat,4fKJ81BAFxuwAFUI3B1BXM,75148,66,brega funk; brazilian funk,Charts Q1 2026,24,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,4296606,75,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,22,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Dj Andrabeat,1Zg9Zp2NMNIBUiazqAHr1C,48801,65,brazilian funk,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ DAVI DOGDOG,5ffbqOCrcxCejQ7oqfWXm9,153802,75,brazilian funk; trap funk,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Dj Felipe Maia,5xtHPJpaKmn16wr3JNA0na,15064,55,brazilian funk; trap funk; funk consciente,Charts Q1 2026,24,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ GORDINHO DA VF,2isWi9fP3idxCaGPPEelEQ,29843,69,brazilian funk; funk carioca,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ Guh Mix,3zG4hHVlA4xIX5jwvOa2KD,239125,74,brazilian funk; trap funk; funk consciente,Charts Q1 2026,25,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ Japa NK,1bpnl8qbR9GxmiNlkEufW6,1118697,82,brazilian funk; funk carioca; trap funk,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ Kaioken,1aQbanZ6xPrOtTYtsMdm3Q,5844,55,brazilian funk,Charts Q1 2026,24,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DJ Oreia,1b8S7EPzdckRyIh0uSbOMI,577831,76,brazilian funk; funk consciente; trap funk,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
DU'L,4bJqqUCbQmRxziUoxUz5mS,13004,69,brazilian funk; trap funk; funk carioca,Charts Q1 2026,25,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,662970,75,sertanejo; sertanejo universitário; agronejo,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Grelo,1eIYP01ZLPKEExhcV6xFgt,1267947,69,seresta; arrocha; piseiro,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,7660147,83,pagode; samba,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Gubeatz,3onpHCaIChS7saQn7fYncx,13796,60,brazilian funk; funk consciente; trap funk,Charts Q1 2026,24,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,24035376,81,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,33092645,86,sertanejo; sertanejo universitário; arrocha,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Julliany Souza,0d71FlLkqZzdpEQifcngQq,1013355,70,gospel; worship; brazilian gospel,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Júnior e Cézar,5fWvTvWy2NCaVy8pFmWIvk,134868,66,sertanejo; sertanejo universitário,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Léo Santana,7KVJCU4z5L4EUHILL8aMxR,2507543,71,pagode baiano; axé; pagode,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,4187673,72,piseiro; sertanejo; forró,Charts Q1 2026,26,,0,2026-04-22,Persistência temporal 3 meses × 2 plataformas
